직업코드,직업명,직업전망_텍스트,전망점수,주요전공계열,주요학력수준,학력_고졸이하비율,학력_전문대졸비율,학력_대졸이상비율,학력점수,유사직업명_합산,대분류명,중분류명,평균구인배율,평균부족률,중위임금,하위임금,월평균임금_천원,신입임금_천원,상위25_임금_천원,중위_임금_천원,하위25_임금_천원,졸업전취업률,3개월이내취업률,전직가능직무명,취업률_1년,취업률_1년이상,취업률_3개월,취업률_6개월,취업률_졸업전
414301,만화가,"향후 5년간 만화가의 고용은 현 상태를 유지하거나 다소 증가할 것으로 전망된다. 한국콘텐츠진흥원 「2016 콘텐츠산업통계」에 따르면, 만화산업 사업체 수는 2011년 8,09개에서 2015년에는 8,145개로 감소하고, 종사자 수도 2011년 10,358명에서 2015년 10,003명으로 감소하였다. 하지만 매출액과 수출액은 크게 증가해, 매출액은 2011년 751,691백만 원에서 2015년에는 919,408백만 원을 달성하였고, 수출액은 2011년 17,213천 달러에서 2015년에는 2015년에는 29,354천 달러를 기록했다. 이는 2003년 본격적으로 유통된 웹툰이 활성화되면서 만화산업 전반의 변화를 주도한 결과로, 2014년에는 웹툰의 유료화 서비스가 본격화되면서 ‘온라인 만화제작·유통업’의 매출액은 2011년부터 2015년 동안 연평균 23.5% 증가하는데 기여했다. 또한 웹툰 제작에 대한 작가들의 수익이 다소나마 안정적으로 보장되면서 다양한 웹툰 신작이 활발하게 제작되고 신진 웹툰작가의 등장이 더욱 활발해질 것으로 전망된다. ",4,예체능,대졸,0.067,0.333,0.6,3.53,,예술·디자인·방송·스포츠직,예술·디자인·방송직,0.04,3.4,,,3895,3038,,,,,,,,,,,
414303,애니메이터,"향후 5년간 애니메이터의 고용은 다소 증가할 것으로 전망된다. 특히, 디지털 미디어 환경 변화에 따라 온라인 애니메이션 제작과 유통 등이 활발해지면서 고용이 다소 증가할 것으로 전망된다. 한국콘텐츠진흥원 「2016 콘텐츠산업통계」에 따르면, 애니메이션산업 사업체 수는 2011년 341개에서 2015년 376개로 증가하였고, 종사자 수는 2012년부터 4,500여 명 수준을 유지하다가 2015년에는 4,728명으로 증가하였다. 매출액과 수출액은 증감을 반복하며 비슷한 수준을 유지하다가 2015년에는 전년 대비 다소 증가해 매출액은 610,175백만 원, 수출액은 126,570천 달러를 기록했다. 특히, 온라인(인터넷/모바일) 애니메이션의 제작은 3년 동안 연평균 15.5% 성장해 온라인 시장이 애니메이션 산업의 성장을 주도할 것으로 보인다. 장기적으로 디지털 미디어 환경 변화로 온라인 애니메이션 제작과 유통 분야가 성장하면서 온라인 애니메이션 부문 애니메이터의 일자리가 다소 증가할 것으로 전망된다. 또한 애니메이션 제작 기술의 발전으로 초보자도 애니메이션을 제작할 수 있는 환경이 마련되었고, 유투브 등 온라인 플랫폼을 통해 작품을 공유하고 수익을 얻을 수 있게 됨에 따라 온라인 유통을 노리는 애니메이션 제작이 더욱 활성화될 것으로 예상된다. 사회적으로도 웹툰 및 애니메이션에 대한 인기가 커지고 있고, 이 분야는 로봇이나 인공지능 등으로 대체될 수 없는 창의성이 강조되는 분야라는 점에서도 고용의 증가를 기대할 수 있다.",4,예체능,대졸,0.067,0.033,0.9,3.83,"일러스트레이터, 애니메이션 프로듀서",예술·디자인·방송·스포츠직,,0.05,3.4,,,3895,3038,,,,,,,,,,,
414401,국악인,"향후 5년간 국악인의 고용은 현 상태를 유지할 것으로 전망된다. 최근 국악 공연이 증감을 반복하며 꾸준히 개최되면서 관객을 만나고 있지만, 국악을 비롯한 전통예술에 대한 국민의 관심이 높은 편이 아니고, 정부와 지자체에서도 전통예술에 대한 전폭적인 지원이 이뤄지고 있는 것은 아니다. 또한 컴퓨터나 스마트 기기로 음악을 접하는 인구가 늘어나면서 공연장을 직접 찾는 인구가 줄어드는 점은 이들의 고용에 부정적인 영향을 미칠 것으로 보인다. 다만, 전통예술 창작활동 지원을 늘리고, 전통 연희의 문화상품화를 위한 축제가 개최되는 등 전통예술 대중화를 위한 노력이 이어지고 있다. 또한 국가적으로 우리나라 전통문화를 계승하고 보전하는 차원에서 국악방송 활성화를 지원하고 매년 예산 편성 및 관련 정책을 마련하고 있기 때문에 장기적으로 이들의 고용은 유지될 것으로 보인다. 매년 배출되는 국악전공자에 비해 신규 채용인원은 소수이며, 특히 국공립 단체와 같이 직업적으로 안정된 일자리는 제한적이기 때문에 인지도가 있는 단체의 경우 입직 경쟁이 치열할 전망이다. 국악 및 전통예능인 활동만으로는 생계를 유지하기 어려운 편이어서 상당수가 교육기관에서 강사로 활동하거나 개인레슨, 방과 후 강사 등을 병행하기도 한다.
",3,예체능,대졸,0.4,0.067,0.533,3.23,,예술·디자인·방송·스포츠직,예술·디자인·방송직,0.04,3.4,,,3895,3038,,,,,,,,,,,
415101,제품디자이너,"향후 5년간 제품디자이너의 고용은 현 상태를 유지하거나 다소 증가할 것으로 전망된다. 디자인은 소비자의 제품 구매에 결정적인 영향을 미치고 제품의 경쟁력을 좌우하는 중요한 요소로, 상품의 외적인 차별성과 가치를 부여하는 디자인의 중요성이 점차 부각되면서 제조 분야에서 제품디자이너의 역할이 중요해졌다. 특히, 많은 기업에서 기술혁신에 비해 투자비가 상대적으로 적게 들고 우수한 성과를 낼 수 있는 디자인 영역을 기업 경영에 전략적으로 활용하고 있다. 즉, 기업의 전략분석, 기획, 엔지니어링, 마케팅, 유통, 기업 이미지 및 브랜드관리 등 경영 요소 전반에 걸쳐 디자인적 가치를 부여하는 ‘디자인 경영(Design Management)’이 중요한 영역을 차지하면서 디자인을 생산의 일부로만 보는 시각에서 벗어나 디자인에 대한 중요성이 강조되고 있으며, 이러한 기업의 디자인 경영 태도는 제품디자이너의 고용에 긍정적인 영향을 미치고 있다. 제품디자인의 수요가 증가하는 분야는 주로 스마트폰 및 스마트기기, 냉장고, TV 등으로, 스마트폰 등의 정보통신제품은 디자인에 민감한 젊은 세대를 겨냥하여 기업의 투자가 꾸준한 편이며 대기업 위주의 시장이라는 점에서 입직을 위한 제품디자이너 간의 경쟁도 치열한 편이다. 제품디자인의 영역은 단순히 제품의 외형뿐 아니라 각 제품의 구조, 기능까지 포함하고 있어 자신의 전문 분야에서 해당 제품의 제작기술을 이해하고 있는 전문성 있는 제품디자이너에 대한 수요가 보다 증가할 것으로 전망된다. 또한 제품의 외형적 디자인 외에 제품을 사용하는 소비자의 경험적 가치를 중시하는 경향에 따라 제품디자인에서도 UX/UI디자인을 서비스에 접목하는 영역의 디자이너 수요가 증가할 것으로 보인다. 한편, 대기업의 경우 부설 디자인연구소를 통해 디자인 작업을 수행하기도 하지만 좀 더 선진화된 기술을 가진 해외에 제품디자인을 맡기기도 하고, 외국 브랜드의 직수입도 늘어나고 있는 점은 제품디자이너의 일자리에 부정적 영향을 미치고 있다. 또한 경기침체와 전반적인 제조업체의 감소 추세로 인해 제품디자인에 투자하거나 인원을 보강하지 못하는 회사들이 많아지는 점은 제품디자이너의 고용을 어렵게 한다.",4,예체능,대졸,0.0,0.167,0.833,3.87,,예술·디자인·방송·스포츠직,예술·디자인·방송직,0.04,3.4,,,3895,3038,,,,,,,,,,,
415301,실내장식디자이너,"향후 5년간 실내장식디자이너의 고용은 현상태를 유지할 것으로 전망된다. 인테리어디자인업은 건설경기에 큰 영향을 받는 영역이다. 다만, 노후 아파트나 주택을 개조하려는 수요가 존재하고, 외부활동보다는 집안에서 생활하는 것을 선호하는 분위기가 형성되면서 개인 공간을 원하는 스타일대로 꾸미는 수요가 나타나고 있다. 또한 싱글족 및 1인 가구가 늘어나고, 실내공간을 친환경적으로 꾸미려는 수요는 이들의 고용을 밝게 한다. 이와 함께 생활공간에서의 기능성과 예술성이 강조되고 스마트 스페이스와 같은 영역이 부각되는 등 IT 기술과 융합된 실내공간에 대한 디자인 수요가 새롭게 나타날 전망이다. 따라서 전체적으로 고용감소 경향을 보이겠으나, 일부 영역에서는 새로운 수요가 창출되면서 감소분을 상쇄할 것으로 보인다.",3,예체능,대졸,0.067,0.033,0.9,3.9,,예술·디자인·방송·스포츠직,예술·디자인·방송직,0.04,3.4,,,3895,3038,,,,,,,,,,,
415404,시각디자이너,"향후 5년간 시각디자이너의 고용은 현 상태를 유지할 것으로 전망된다. 멀티미디어 시대로 접어들며 다양한 시각적 이미지를 통해 정보를 효율적으로 전달하는 시각디자이너의 역할이 중요해졌다. 소비자들이 비주얼적인 면을 중시하여 소비하는 경향이 커지면서 기업 경영에 있어서도 디자인이 경영전략의 핵심 요소로 인식되어 디자인 경영, 아트마케팅(artmarketing) 등을 추진하는 등 디자인에 대한 기업의 투자와 관심이 높아지고 있다. 다양한 매체를 통하여 전 세계의 최신 시각디자인을 접할 기회가 많아지면서 대중의 안목이 전문가 수준에 이르는 등 디자인에 대한 기대가 커지고 있다. 시각디자인의 양적인 성장뿐 아니라 질적인 성장이 이루어지고 있는 만큼 좀 더 전문적인 디자인 능력과 자질을 갖춘 시각디자이너에 대한 수요가 늘어날 것으로 전망된다. 그러나 현재 소규모 디자인 업체가 난립하고 있는 상황이며, 향후 대기업 중심으로 인수합병이 크게 늘 것으로 보이는데 이는 시각디자이너 일자리에 부정적인 요인으로 작용할 것이다. 시각디자인 전문업체의 대부분이 영세한 규모로 근무환경과 임금은 다소 열악하다. 따라서 인지도가 있는 몇몇 전문 디자인 업체의 입직경쟁은 다소 치열할 것으로 예상된다. 직업적 특성상 철저히 능력 위주로 평가받기 때문에 취업 후에도 실력을 인정받고 디자이너들 간의 치열한 경쟁에서 살아남을 수 있도록 계속해서 자기계발에 힘써야 한다.",3,예체능,대졸,0.0,0.2,0.8,3.8,,예술·디자인·방송·스포츠직,예술·디자인·방송직,0.04,3.4,,,3895,3038,,,,,,,,,,,
415201,패션디자이너,"향후 5년간 패션디자이너의 고용은 현 상태를 유지할 것으로 전망된다. 패션디자이너가 주로 근무하는 의류업계는 경기의 영향을 크게 받는다. 과거 20여 년간 국내 패션시장은 성장기에 있었으나 이제 저성장 시대로 진입했다는 전망이 지배적이다. 장기적인 경기 침체로 소비심리가 위축되면서 의류소비에 부정적인 영향을 미치고 있고, 해외 브랜드 선호도가 높아지면서 해외 브랜드의 국내 진출이 크게 늘었다. 또한 해외 직구 같은 제품 구매 방식이 보편화되면서 소비자들이 해외 브랜드 의류를 쉽게 구매할 수 있게 되면서 국내 패션업계는 해외 브랜드와 치열한 경쟁을 해야 하는 상황에 놓였다. 의류 등을 구매하는 형태도 오프라인보다는 온라인으로 이뤄지는 경우가 많고, 패션 대기업들은 브랜드를 축소하거나 통합을 추구하고 있어 신규 고용이 확대되기는 어려울 전망이다. 때문에 패션디자이너의 일자리는 온라인 쇼핑몰이나 개별 브랜드를 창업하는 형태로 이동하는 경향이 두드러질 것으로 보인다. 실제 온라인 쇼핑몰을 중심으로 중저가 쇼핑몰이 성장하고 해외 진출이 활발한 업체들이 늘어나고 있다. 따라서 온라인 유통비중이 높은 신진 패션업체를 중심으로 패션디자이너의 활동이 상대적으로 활발한 것으로 전망된다. 또한, 소비 침체에 따라 비교적 가격이 저렴하면서 소비 욕구를 충족시킬 수 있는 주얼리, 가방, 속옷 등의 디자인 분야에서 수요가 좀 더 나타날 것으로 보인다. 대신 섬유산업의 위축 및 생산기지의 해외 이전 등으로 직물디자이너의 수요는 감소할 것으로 전망된다. 대기업 등 근무환경이 좋은 업체들의 경우, 경력직 패션디자이너를 위주로 채용하는 경향이 지속될 전망이다. 이에 따라 자신만의 브랜드를 만들어 창업의 방식으로 활동하는 신진 디자이너의 활동은 활발한 반면, 대기업 입직에 있어 신규 인력의 진입장벽은 다소 높게 유지될 전망이다. 한편, 전문대학 및 대학교, 패션 관련 각종 사설 교육기관에서 배출되는 인력들이 많은 편이고 인력 수요는 한정되어 있어 패션디자이너로 신규 진입해 입지를 다지기 위해서는 치열한 경쟁을 치러야 할 것으로 보인다.",3,자연,대졸,0.0,0.0,1.0,4.07,"의류디자이너, 신발디자이너",예술·디자인·방송·스포츠직,,0.05,4.6,,,3895,3038,,,,,,,91.7,94.5,64.25,85.3,37.2
415501,웹디자이너,"향후 5년간 웹디자이너의 고용은 현 상태를 유지할 것으로 전망된다. 우리나라 스마트폰 보급률은 2016년 기준 91%로 세계 최고 수준이다. 스마트폰 등의 IT기기가 발전할수록 온라인상에서 이용할 각종 프로그램이나 모바일 웹의 디자인 수요가 지속적으로 증가하고 있다. 모바일 시장의 급속한 발전은 고품질의 멀티미디어디자인에 대한 기대 수요를 높이고 있다. 웹사이트 모바일 버전의 활용도가 더 높아지는 경향을 보이면서 모바일 매체에 최적화된 영상 콘텐츠 및 디자인 적용이 반영되길 요구하고, 보다 첨단의 영상기술을 반영할 수 있는 디자이너의 요구가 커지고 있다. 하지만 대학의 웹디자인, 컴퓨터그래픽, 멀티미디어디자인, 게임디자인 등 관련 학과뿐 아니라 사설학원 등에서도 관련 기술을 배울 기회가 많아 디자인 관련 배출인력이 많은 편이다. 또한  웹사이트 제작 프로그램이 간편해지면서 일반인도 쉽게 제작할 수 있게 되었다는 점과 포털사이트의 블로그를 활용한 웹사이트 대체 현상이 생겨나는 점은 웹디자이너의 고용에 부정적인 영향을 미칠 것으로 보인다. 한편, 관련 업체에서는 실력 있는 경력자를 선호하기 때문에 신규 입직자는 치열한 경쟁과 취업난에 처할 것으로 보인다. 또한 기술 개발 기간의 단축으로 보다 새로운 기술을 활용할 수 있는 인력을 요구하는 경향이 커지면서 디자이너는 지속적인 학습과 연구를 해야 하고, 전문 분야를 특화하거나 실력을 인정받을 수 있는 공모전 수상 등 남다른 준비가 필요하다.",5,예체능,대졸,0.0,0.233,0.767,3.77,,예술·디자인·방송·스포츠직,예술·디자인·방송직,0.04,3.4,,,3895,3038,,,,,,,,,,,
415503,영상그래픽디자이너,"향후 5년간 영상그래픽디자이너의 고용은 증가할 것으로 전망된다. 영상을 통해 다양한 홍보와 내용 전달이 효과적이기 때문에 영상제작이 증가하고 있다. 또한 스마트폰 사용자 확대로 인한 게임산업의 성장도 인력 수요가 발생할 것으로 보인다. 컴퓨터그래픽 기술이 발전하면서 한층 더 경쟁력 있는 그래픽, 배경, 캐릭터, 아이템, 메뉴 등이 요구되고 있어 소비자의 요구를 만족시키는 디자인을 구현할 수 있는 디자이너를 위주로 고용이 증가할 것으로 전망된다.",5,예체능,대졸,0.0,0.032,0.968,3.97,,예술·디자인·방송·스포츠직,예술·디자인·방송직,0.04,3.4,,,3895,3038,,,,,,,,,,,
415502,게임그래픽디자이너,"향후 5년간 게임그래픽디자이너의 고용은 다소 증가할 것으로 전망된다. 우리나라 스마트폰 보급률은 2016년 기준 91%로 세계 최고 수준이다. 스마트폰 등의 IT기기가 발전할수록 온라인상에서 이용할 각종 프로그램이나 모바일 웹의 디자인 수요가 지속적으로 증가한다. 모바일 시장의 급속한 발전은 고품질의 멀티미디어디자인에 대한 기대 수요를 높이고 있다. 웹사이트 모바일 버전의 활용도가 더 높아지는 경향을 보이면서 모바일 매체에 최적화된 영상 콘텐츠 및 디자인 적용이 반영되길 요구하고, 보다 첨단의 영상기술을 반영할 수 있는 디자이너의 요구가 커지고 있다. 또한 가상현실 시장이 본격적으로 열리면 증강현실 및 가상현실 관련 기술이 접목된 제품의 디자인 및 게임물, 영상콘텐츠 분야의 유망성이 더욱 커질 전망이다. 이때 가상현실 및 증강현실 기술이 상용화되어 소비자에게 전달되려면 비주얼 디자인이 무엇보다 중요하고 영상디자인 및 멀티미디어디자인이 빠질 수 없기 때문에 첨단과학 기술의 이해와 응용에 대한 역량을 갖춘 멀티미디어디자이너에 대한 요구가 커질 것으로 보인다. 게임디자인의 경우, 스마트폰 사용자 확대로 모바일 게임시장이 커지면서 인력 수요가 발생할 것으로 보인다. 한국콘텐츠진흥원의 「2016 콘텐츠산업통계」에 따르면, 게임산업의 매출액이 증가세를 보이는 가운데, 모바일 게임의 매출액 증가율은 전년 대비 19.6%가 증가해 지속적인 성장세를 보이고 있다. 종사자 역시 모바일게임에서 2013년 9,038명, 2015년 13,106명으로 연평균 20.4%가 증가한 것으로 나타났다. PC게임 분야 종사자 수의 경우, 2013년에서 2015년 동안 연평균 37.0% 증가했으나, 종사자 규모는 2015년 385명으로 온라인게임 및 모바일게임 분야에 비해서는 적은 편이었다. 스마트폰으로 즐기는 모바일 게임 개발이 증가하고, 게임 유저가 전 연령층으로 확대되는 점은 게임디자이너의 일자리 증가에도 긍정적인 영향을 줄 것으로 보인다. 또한 한층 더 경쟁력 있는 그래픽, 배경, 캐릭터, 아이템, 메뉴 등에 대한 소비자의 요구 증가로 이를 실제 구현할 수 있는 실력 있는 디자이너를 중심으로 고용이 늘어날 전망이다.",4,예체능,대졸,0.0,0.367,0.633,3.63,,예술·디자인·방송·스포츠직,예술·디자인·방송직,0.04,3.4,,,3895,3038,,,,,,,,,,,
