KNOW직업코드,유사직업명,조사년도
2184,,2012
2191,"관세사, 통관사, 통관업자, 수출입 업무 신고 대행자",2013
2192, ,2013
2193,"평가사, 감평사, 감정사, 감사",2013
2194,,2013
2196,,2013
2197,"학예연구사,  큐레이터,  문화재감별사, 문화재 감정관,  감정평가사, 문화재감정사",2013
2210,사무원,2013
2220,"사무원, 경리",2013
2240,사무원,2013
7132,"컨설턴트 직업상담원, 상담사, 진로코칭전문가",2013
7133,,2012
7140,,2013
7210,보모,2013
7221,"요양보호사, 복지사",2013
7311,선교사,2013
7312,"목사후보생,  교역자, 사역자",2013
7313,사제,2013
7314,,2013
7315,스님,2013
7316,,2013
7320,"무속인,  운명상담사, 역술가",2013
8111,,2013
8112,작가,2013
8113,"작가, 감독",2013
8114,"광고기획자, AE, 광고문안가",2013
8115,,2013
8116,,2013
8117,"영화평론가, 미술평론가, 시사평론가",2013
8118,,2013
8120,번역사,2013
8130,통역사,2013
8141,"에디터, 편집자, 출판PD",2013
8150,"편집디자이너, 에디터",2013
8151,,2013
8211,"학예연구원, 큐레이터, 기획자",2013
8212,"복원기술자, 문화재보존가,  보존처리사",2013
8213,"아트컨설턴트, 아트디렉터, 디자인컨설턴트",2013
8220,,2013
8221,사서,2013
8300,편집인,2013
8301,언론인,2013
8302,저널리스트,2013
8303,"리포터, 에디터, 편집자",2013
8304,저널리스트,2013
8305,"카메라기자, 카메라감독, 영상취재기자",2013
8411,,2013
8412,"예술인, 도예가",2013
8413,,2013
8421,,2013
8422,,2013
8423,,2013
8424,,2013
8430,,2013
8441,댄서,2013
8442,무용강사,2013
8443,,2013
8446,"민속무용가, 전통무용가",2013
8452,"사진작가, 예술가",2013
8460,"명창, 예술인",2013
8471,"만화작가, 작가님, 시나리오 작가",2013
8472,"소품담당, 디자인담당, 프로듀서, 그래픽디자이너",2013
8510,,2013
8511,"디자이너, 가구작가, 목수,  공예가, 퍼니처 아티스트, 가구디자이너기사",2013
8512,,2013
8513,기사,2013
8514,,2013
8517,,2013
8518,,2012
8520,,2013
8521,,2013
8522,MD,2013
8530,"실내장식가, 실내디자이너, 인테리어시공원, 인테리어기사",2013
9320,버스기사,2013
9330,"운전기사(화물, 트럭)",2013
9341,"기사(트럭, 운전, 화물, 대형 트럭)",2013
9342,"기사(레미콘, 운전, 지게치), 지게차운전사",2013
2241,"사무원, 자재담당원",2013
2242,"생산관리자, 생산관리사무원",2013
2243,사무원,2013
2244,"직업상담사, 커리어컨설턴트, 교육상담원, 취업상담사, 취업설계사, 진로지도자",2013
2252,,2013
2253,"사무원, 마케터",2013
2254,기획디자이너,2013
2255,"경영사무, 사무원, 기획원",2013
2256,"인터뷰어, 설문조사원, 조사원, 서베이어, 리서치요원, 전화조사원",2013
2261,"탑재관리사, LCC",2013
2262,"역무원, 기관사, 열차운용원, 전철관제원",2013
2263,"배차사무원, 운송사원, 화물주선업자, ",2013
2264,"해상교통관제사, 선박교통관제사, VTS요원, 관제사",2013
2265,,2013
2266,"운송직원, 지상직원",2013
2267,지상직승무원,2013
2268, ,2013
2270,"해회영업원, SALES MANAGER",2013
2281,,2013
2282,,2013
2284, ,2013
2285,세무사,2013
2286,,2013
2287,,2013
2288,"주무관, 주사,  보좌관, 보좌진",2013
2289,,2015
2310,"접수행정 안내원, 경비원, 수위",2013
2311,"전화상담원, 교환원, 안내원",2013
2312,안내원,2013
2313,"큐레이터, 문화해설사, 박물관안내원",2013
2320,"판매사, 텔러,  전화안내원, 고객상담원",2013
2325,"기술기획자,  개발기획자, 법규인증전문가, 바이어, MD, MO",2013
2326,"상품기획전문가, MD, 상품매니저",2013
2331,,2015
2332,,2015
2415,사무원,2013
2420,사무원,2013
2421,에디터,2013
2425,사무원,2013
3111,"애널리스트, credit analyst",2013
3112,,2013
3120,자산관리자,2013
3131,"상담사, 투자자산",2013
3132,선물브로커,2013
3140,"보험사, 계리사",2013
3150,"손해사정사, 보험보상사무원, 보험관리자",2013
3190,,2013
3191,,2013
3192,"재무관리사, 재정관리사, 컨설팅상담사, 자산관리사, 펀드매니저, 공인중개사, 부동산컨설팅",2013
3193,"리스크매니저,  증권브로커, 투자상담사",2013
3195,,2013
3210,"은행원, 텔러, 은행딜러, 청구직원",2013
3211,,2015
3220,"보험사무보조원, 보험사무원",2013
3230,"창구직원, 은행원",2013
3241,,2013
3310,"보험설계사, 재무관리사, 보험중개인, 보험사직원, FC",2013
3320,"보험영업사원, 재무설계사, 보험설계사, FC",2013
4120,"강사, 교수님",2013
4130,"장학선생님, 교육연구사",2013
4131,전산실무원,2013
4132,연구원,2013
4133,연구원,2013
4134,"교수설계자 OR 보더, 컨텐츠기획자, 교무설계자",2013
4135,"입시전문가, 입사관",2013
4211,"연구원, Physicist, 엔지니어",2013
4212,연구원,2013
4213,"연구원, 예보관, 통보관, 기상인",2013
4215,연구원,2013
4216,예보사,2013
4217,"분석자,  기사",2013
4221,,2013
4222,,2013
4223,검역관,2013
4224,"검사관, 수산직, 연구원",2013
4225,,2013
4226,"육종가, 재배시험담당자, 농업연구사",2013
4227,"품질평가사, 축산물품질평가사, 연구원",2013
4228,의사,2013
4229,,2013
4230,,2012
4231,"연구원, 조교님",2013
4311,,2013
4312,학예사,2013
4313,,2013
4315,,2013
4322,,2013
4323,,2013
4324,,2013
4325,,2013
4326,,2013
4327,변호사,2013
4328,상담사,2013
4329,,2013
4410,,2013
4420,,2013
4430,농촌지도사,2013
4431,"산림기사, 장비기사, 임업기술자, 랜드아티스트",2013
4516,"교사, 선생님, 상담사, 전문상담교사",2013
4522,"선생님, 교사",2013
4530,선생님,2013
4535,"조경기사, 연구원",2013
4540,선생님,2013
4611,"디자이너, 아티스트",2013
4612,"미용사, 헤어디자이너",2013
4613,"요리사, 조리사",2013
4614,강사,2013
4621,"선생님, 강사",2013
4622,"선생님, 교사",2013
4630,"선생님, 강사",2013
4640,"선생님, 강사",2013
4650,선생님,2013
4690,"선생님, 교사",2013
4691,선생님,2013
4810,"선생님, 교사, 강사",2013
4820,"다문화가정방문교사, 선생님, 강사, 한국문화강사",2013
5111,,2013
5112,,2013
5120,,2013
5130,"사법서사, 사법리사",2013
5140,"특허대리인, 특허변호사, 특허전문가",2013
5201,"특허법무원, 특허명세사, 사법서사,  법률사무원",2013
5205,,2013
5206,,2012
5310,,2013
5311,,2013
5313,,2013
5315,"형사, 수사관, 조사관, 분석관, 포렌직요원, 경찰",2013
5320,"구급대원, 소방사, 구조대원",2013
5331,"교정직공무원, 간수",2013
5335,"교도관, 소년원관리자",2013
6111,"의사선생님 , 박사",2013
6112,의사선생님,2013
6113,의사선생님,2013
6114,의사선생님,2013
6115,의사선생님,2013
6116,의사선생님,2013
6117,의사선생님,2013
6118,의사선생님,2013
6119,선생님,2013
6120,의사선생님,2013
6121,의사선생님,2013
6122,의사선생님,2013
6123,선생님,2013
6124,의사선생님,2013
6129,의사선생님,2013
6130,의사선생님,2013
6200,의사선생님,2013
6300,,2013
6301,,2013
6401,"양호선생님, 보건선생님",2013
6402,,2012
6403,"간호사, 전문간호사",2013
6404,"간호사, 전문간호사",2013
6405,"간호사, 전문간호사",2013
6406,,2015
6510,PT,2013
6520,"심리치료사, 심리검사자, 임상심리사, 상담자",2013
