"시도별(17개)","규모별","직종별","항목","단위","2022. 1/2","2022. 2/2","2023. 1/2","2023. 2/2","2024. 1/2","2024. 2/2","2025. 1/2","2025. 2/2",
"전국","전규모(1인이상)","01 관리직(임원ㆍ부서장)","현원","명","159871","158625","163063","152361","153218","151036","157900","157164",
"전국","전규모(1인이상)","01 관리직(임원ㆍ부서장)","구인인원","명","2667","1752","2304","1631","1974","1258","1785","1404",
"전국","전규모(1인이상)","01 관리직(임원ㆍ부서장)","채용인원","명","2181","1566","1998","1444","1838","1104","1570","1251",
"전국","전규모(1인이상)","01 관리직(임원ㆍ부서장)","미충원인원","명","486","186","306","187","136","154","215","153",
"전국","전규모(1인이상)","01 관리직(임원ㆍ부서장)","부족인원","명","967","868","825","805","685","551","656","546",
"전국","전규모(1인이상)","01 관리직(임원ㆍ부서장)","채용계획인원","명","926","857","782","802","664","495","603","511",
"전국","전규모(1인이상)","01 관리직(임원ㆍ부서장)","부족률","%",".6",".5",".5",".5",".4",".4",".4",".3",
"전국","전규모(1인이상)","02 경영ㆍ행정ㆍ사무직","현원","명","3637147","3680632","3732238","3927682","3921162","3932294","3923699","3943332",
"전국","전규모(1인이상)","02 경영ㆍ행정ㆍ사무직","구인인원","명","164985","159028","163286","148604","162989","154003","164346","134605",
"전국","전규모(1인이상)","02 경영ㆍ행정ㆍ사무직","채용인원","명","145166","138070","143759","130641","145946","135560","146218","119788",
"전국","전규모(1인이상)","02 경영ㆍ행정ㆍ사무직","미충원인원","명","19819","20958","19527","17963","17043","18443","18128","14817",
"전국","전규모(1인이상)","02 경영ㆍ행정ㆍ사무직","부족인원","명","76557","76440","72043","71146","73888","71851","64992","57828",
"전국","전규모(1인이상)","02 경영ㆍ행정ㆍ사무직","채용계획인원","명","77430","77543","71268","70131","72723","71543","64186","62133",
"전국","전규모(1인이상)","02 경영ㆍ행정ㆍ사무직","부족률","%","2.1","2","1.9","1.8","1.8","1.8","1.6","1.4",
"전국","전규모(1인이상)","03 금융ㆍ보험직","현원","명","601166","604028","602489","609191","611490","620438","602863","606536",
"전국","전규모(1인이상)","03 금융ㆍ보험직","구인인원","명","22241","20435","24448","15596","21350","20403","22502","23302",
"전국","전규모(1인이상)","03 금융ㆍ보험직","채용인원","명","17522","16875","20866","14755","20827","19194","20215","21641",
"전국","전규모(1인이상)","03 금융ㆍ보험직","미충원인원","명","4719","3560","3582","841","523","1209","2287","1661",
"전국","전규모(1인이상)","03 금융ㆍ보험직","부족인원","명","15838","12972","13456","7401","9161","8953","10970","8866",
"전국","전규모(1인이상)","03 금융ㆍ보험직","채용계획인원","명","16058","13515","13688","7585","9077","7800","10385","9045",
"전국","전규모(1인이상)","03 금융ㆍ보험직","부족률","%","2.6","2.1","2.2","1.2","1.5","1.4","1.8","1.4",
"전국","전규모(1인이상)","011 의회의원ㆍ고위공무원 및 기업 고위 임원","현원","명","7845","7147","7415","7727","6254","6152","6777","6476",
"전국","전규모(1인이상)","011 의회의원ㆍ고위공무원 및 기업 고위 임원","구인인원","명","182","44","128","60","100","41","144","70",
"전국","전규모(1인이상)","011 의회의원ㆍ고위공무원 및 기업 고위 임원","채용인원","명","174","42","121","59","99","38","143","70",
"전국","전규모(1인이상)","011 의회의원ㆍ고위공무원 및 기업 고위 임원","미충원인원","명","8","2","7","1","1","3","1","0",
"전국","전규모(1인이상)","011 의회의원ㆍ고위공무원 및 기업 고위 임원","부족인원","명","26","48","46","22","20","20","13","17",
"전국","전규모(1인이상)","011 의회의원ㆍ고위공무원 및 기업 고위 임원","채용계획인원","명","23","39","47","23","27","23","10","16",
"전국","전규모(1인이상)","011 의회의원ㆍ고위공무원 및 기업 고위 임원","부족률","%",".3",".7",".6",".3",".3",".3",".2",".3",
"전국","전규모(1인이상)","012 행정ㆍ경영ㆍ금융ㆍ보험 관리자","현원","명","56778","56908","57049","58911","60907","61648","64158","64373",
"전국","전규모(1인이상)","012 행정ㆍ경영ㆍ금융ㆍ보험 관리자","구인인원","명","899","687","680","565","869","538","768","686",
"전국","전규모(1인이상)","012 행정ㆍ경영ㆍ금융ㆍ보험 관리자","채용인원","명","783","630","653","525","835","503","733","622",
"전국","전규모(1인이상)","012 행정ㆍ경영ㆍ금융ㆍ보험 관리자","미충원인원","명","116","57","27","40","34","35","35","64",
"전국","전규모(1인이상)","012 행정ㆍ경영ㆍ금융ㆍ보험 관리자","부족인원","명","223","208","205","297","214","139","164","162",
"전국","전규모(1인이상)","012 행정ㆍ경영ㆍ금융ㆍ보험 관리자","채용계획인원","명","225","211","201","301","209","108","150","156",
"전국","전규모(1인이상)","012 행정ㆍ경영ㆍ금융ㆍ보험 관리자","부족률","%",".4",".4",".4",".5",".4",".2",".3",".3",
"전국","전규모(1인이상)","013 전문서비스 관리자","현원","명","31660","31857","32761","29978","31593","31382","32071","31106",
"전국","전규모(1인이상)","013 전문서비스 관리자","구인인원","명","420","298","296","352","325","251","213","172",
"전국","전규모(1인이상)","013 전문서비스 관리자","채용인원","명","383","264","259","347","320","234","197","169",
"전국","전규모(1인이상)","013 전문서비스 관리자","미충원인원","명","37","34","37","5","5","17","16","3",
"전국","전규모(1인이상)","013 전문서비스 관리자","부족인원","명","215","128","128","95","103","134","119","77",
"전국","전규모(1인이상)","013 전문서비스 관리자","채용계획인원","명","182","129","129","87","105","116","124","73",
"전국","전규모(1인이상)","013 전문서비스 관리자","부족률","%",".7",".4",".4",".3",".3",".4",".4",".2",
"전국","전규모(1인이상)","014 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소 관리자","현원","명","3832","3831","4060","3012","3099","3162","3204","3066",
"전국","전규모(1인이상)","014 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소 관리자","구인인원","명","54","16","53","21","37","12","29","35",
"전국","전규모(1인이상)","014 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소 관리자","채용인원","명","52","15","50","20","37","12","29","33",
"전국","전규모(1인이상)","014 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소 관리자","미충원인원","명","2","1","3","1","0","0","0","2",
"전국","전규모(1인이상)","014 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소 관리자","부족인원","명","13","22","18","6","7","9","34","11",
"전국","전규모(1인이상)","014 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소 관리자","채용계획인원","명","12","19","18","7","7","7","34","12",
"전국","전규모(1인이상)","014 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소 관리자","부족률","%",".3",".6",".4",".2",".2",".3","1.1",".4",
"전국","전규모(1인이상)","015 영업ㆍ판매ㆍ운송 관리자","현원","명","22932","21965","23150","19075","18159","17937","18803","18491",
"전국","전규모(1인이상)","015 영업ㆍ판매ㆍ운송 관리자","구인인원","명","489","355","395","132","131","135","185","153",
"전국","전규모(1인이상)","015 영업ㆍ판매ㆍ운송 관리자","채용인원","명","400","292","293","116","98","99","148","127",
"전국","전규모(1인이상)","015 영업ㆍ판매ㆍ운송 관리자","미충원인원","명","89","63","102","16","33","36","37","26",
"전국","전규모(1인이상)","015 영업ㆍ판매ㆍ운송 관리자","부족인원","명","159","195","156","105","124","63","91","65",
"전국","전규모(1인이상)","015 영업ㆍ판매ㆍ운송 관리자","채용계획인원","명","148","195","134","103","110","63","91","63",
"전국","전규모(1인이상)","015 영업ㆍ판매ㆍ운송 관리자","부족률","%",".7",".9",".7",".5",".7",".4",".5",".4",
"전국","전규모(1인이상)","016 건설ㆍ채굴ㆍ제조ㆍ생산 관리자","현원","명","36825","36916","38628","33658","33207","30754","32888","33652",
"전국","전규모(1인이상)","016 건설ㆍ채굴ㆍ제조ㆍ생산 관리자","구인인원","명","622","352","752","501","512","282","445","288",
"전국","전규모(1인이상)","016 건설ㆍ채굴ㆍ제조ㆍ생산 관리자","채용인원","명","389","323","622","377","448","218","320","230",
"전국","전규모(1인이상)","016 건설ㆍ채굴ㆍ제조ㆍ생산 관리자","미충원인원","명","233","29","130","124","64","64","125","58",
"전국","전규모(1인이상)","016 건설ㆍ채굴ㆍ제조ㆍ생산 관리자","부족인원","명","331","268","272","280","217","186","235","215",
"전국","전규모(1인이상)","016 건설ㆍ채굴ㆍ제조ㆍ생산 관리자","채용계획인원","명","336","264","253","281","206","179","193","191",
