계열정보,학과명,직업분류명
자연계열,식품영양학과,식품공학 기술자 및 연구원
자연계열,식품영양학과,식품공학 시험원
자연계열,식품영양학과,영양사
자연계열,식품조리학과,한식 조리사
자연계열,식품조리학과,양식 조리사
자연계열,식품조리학과,음료 조리사 
자연계열,식품조리학과,주방 보조원
자연계열,식품조리학과,제과·제빵원
자연계열,의류·의상학과,상품 기획자
자연계열,의류·의상학과,기획·마케팅 사무원
자연계열,의류·의상학과,전산자료 입력원 및 사무 보조원
자연계열,의류·의상학과,패션 디자이너
자연계열,의류·의상학과,상점 판매원
자연계열,수학과,기획·마케팅 사무원
자연계열,수학과,총무 사무원 및 대학 행정조교
자연계열,수학과,회계 사무원
자연계열,수학과,전산자료 입력원 및 사무 보조원
자연계열,수학과,문리·어학 강사
자연계열,통계학과,조사 전문가
자연계열,통계학과,기획·마케팅 사무원
자연계열,통계학과,총무 사무원 및 대학 행정조교
자연계열,통계학과,전산자료 입력원 및 사무 보조원
자연계열,통계학과,데이터 전문가
자연계열,물리·과학과,총무 사무원 및 대학 행정조교
자연계열,물리·과학과,전산자료 입력원 및 사무 보조원
자연계열,물리·과학과,자연과학 시험원
자연계열,물리·과학과,전자공학 기술자 및 연구원
자연계열,물리·과학과,문리·어학 강사
자연계열,천문·기상학과,자연과학 연구원
자연계열,천문·기상학과,자연과학 시험원
자연계열,천문·기상학과,문리·어학 강사
자연계열,천문·기상학과,위관급 장교 
자연계열,천문·기상학과,상점 판매원
자연계열,지구과학과,국가·지방행정 사무원
자연계열,지구과학과,총무 사무원 및 대학 행정조교
자연계열,지구과학과,전산자료 입력원 및 사무 보조원
자연계열,지구과학과,자연과학 시험원
자연계열,지구과학과,측량·지리정보 전문가
자연계열,생물학과,총무 사무원 및 대학 행정조교
자연계열,생물학과,생산·품질 사무원
자연계열,생물학과,생명과학 연구원
자연계열,생물학과,생명과학 시험원
자연계열,생물학과,농림어업 시험원
자연계열,자원학과,기획·마케팅 사무원
자연계열,자원학과,총무 사무원 및 대학 행정조교
자연계열,자원학과,생명과학 시험원
자연계열,자원학과,농림어업 시험원
