"한국표준직업분류 개정7차","성별","경력구분","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년","2025 년",
"전직종","전체","전경력","월임금총액","천원","3757","3858","4091","4266","4371","4482",
"전직종","전체","전경력","월급여액","천원","3318","3443","3616","3755","3877","3988",
"전직종","전체","전경력","전년도연간특별급여/12개월","천원","439","415","475","511","493","493",
"전직종","전체","전경력","전년도 연간특별급여","천원","5268","4981","5700","6128","5920","5920",
"전직종","전체","전경력","총근로시간","시간","176.7","177.5","166","170.6","158.2","157.9",
"전직종","전체","전경력","근로자수","명","11061775","11215215","11686935","11864192","12203956","12413858",
"전직종","전체","1년미만","월임금총액","천원","2291","2404","2514","2592","2686","2720",
"전직종","전체","1년미만","월급여액","천원","2276","2387","2496","2575","2671","2707",
"전직종","전체","1년미만","전년도연간특별급여/12개월","천원","15","17","19","17","14","12",
"전직종","전체","1년미만","전년도 연간특별급여","천원","176","201","223","202","171","149",
"전직종","전체","1년미만","총근로시간","시간","165.4","166.7","157","160.6","150.6","148.2",
"전직종","전체","1년미만","근로자수","명","1112118","1085285","1195292","1389212","1243867","1219556",
"전직종","전체","1~3년미만","월임금총액","천원","2717","2770","2915","3122","3163","3227",
"전직종","전체","1~3년미만","월급여액","천원","2544","2607","2736","2911","2962","3034",
"전직종","전체","1~3년미만","전년도연간특별급여/12개월","천원","172","163","179","211","201","193",
"전직종","전체","1~3년미만","전년도 연간특별급여","천원","2068","1955","2147","2526","2413","2316",
"전직종","전체","1~3년미만","총근로시간","시간","175","173.8","162.8","168","155.7","155.5",
"전직종","전체","1~3년미만","근로자수","명","2169973","2030589","1964455","2175037","2344987","2286709",
"전직종","전체","3~5년미만","월임금총액","천원","3017","3066","3272","3459","3473","3654",
"전직종","전체","3~5년미만","월급여액","천원","2769","2837","2994","3164","3214","3350",
"전직종","전체","3~5년미만","전년도연간특별급여/12개월","천원","248","229","278","294","259","304",
"전직종","전체","3~5년미만","전년도 연간특별급여","천원","2979","2748","3330","3533","3105","3648",
"전직종","전체","3~5년미만","총근로시간","시간","178.1","178.3","167","169.8","156.8","157.7",
"전직종","전체","3~5년미만","근로자수","명","1501443","1592822","1618427","1564130","1535941","1637250",
"전직종","전체","5~10년미만","월임금총액","천원","3638","3670","3839","4073","4130","4215",
"전직종","전체","5~10년미만","월급여액","천원","3215","3292","3430","3622","3696","3798",
"전직종","전체","5~10년미만","전년도연간특별급여/12개월","천원","423","378","408","451","434","417",
"전직종","전체","5~10년미만","전년도 연간특별급여","천원","5071","4534","4899","5418","5212","5005",
"전직종","전체","5~10년미만","총근로시간","시간","178.4","179.7","168.2","172.9","160","160",
"전직종","전체","5~10년미만","근로자수","명","2174781","2170724","2217152","2226393","2295192","2393520",
"전직종","전체","10년이상","월임금총액","천원","5038","5117","5387","5709","5804","5919",
"전직종","전체","10년이상","월급여액","천원","4265","4397","4572","4797","4940","5064",
"전직종","전체","10년이상","전년도연간특별급여/12개월","천원","774","720","815","912","865","855",
"전직종","전체","10년이상","전년도 연간특별급여","천원","9283","8640","9779","10942","10378","10265",
"전직종","전체","10년이상","총근로시간","시간","179.3","180.5","168.3","174","161","160.6",
"전직종","전체","10년이상","근로자수","명","4103460","4335796","4691609","4509420","4783969","4876823",
"전직종","남","전경력","월임금총액","천원","4316","4442","4726","4931","5066","5182",
"전직종","남","전경력","월급여액","천원","3756","3913","4118","4278","4434","4551",
"전직종","남","전경력","전년도연간특별급여/12개월","천원","560","530","608","652","633","632",
"전직종","남","전경력","전년도 연간특별급여","천원","6715","6359","7299","7829","7596","7578",
"전직종","남","전경력","총근로시간","시간","181.7","182.9","171.3","176.6","164.4","164.3",
"전직종","남","전경력","근로자수","명","6807459","6869867","7041740","7109162","7237709","7286093",
"전직종","남","1년미만","월임금총액","천원","2585","2730","2852","2969","3077","3128",
"전직종","남","1년미만","월급여액","천원","2565","2709","2826","2946","3058","3110",
"전직종","남","1년미만","전년도연간특별급여/12개월","천원","20","22","26","23","20","18",
"전직종","남","1년미만","전년도 연간특별급여","천원","242","258","312","282","238","212",
"전직종","남","1년미만","총근로시간","시간","175.3","176.2","166.5","172.7","161.7","159.5",
"전직종","남","1년미만","근로자수","명","578645","574749","615661","704747","635738","595251",
"전직종","남","1~3년미만","월임금총액","천원","3073","3159","3333","3575","3624","3687",
"전직종","남","1~3년미만","월급여액","천원","2853","2946","3092","3293","3362","3431",
"전직종","남","1~3년미만","전년도연간특별급여/12개월","천원","220","213","241","281","262","256",
"전직종","남","1~3년미만","전년도 연간특별급여","천원","2645","2557","2891","3373","3143","3070",
"전직종","남","1~3년미만","총근로시간","시간","182.9","182.9","171.2","176.9","165.4","165.1",
"전직종","남","1~3년미만","근로자수","명","1165173","1067687","1018290","1124432","1220845","1184552",
"전직종","남","3~5년미만","월임금총액","천원","3408","3479","3729","3947","4016","4208",
"전직종","남","3~5년미만","월급여액","천원","3092","3185","3373","3568","3676","3805",
"전직종","남","3~5년미만","전년도연간특별급여/12개월","천원","316","295","355","379","340","403",
"전직종","남","3~5년미만","전년도 연간특별급여","천원","3793","3535","4265","4552","4080","4834",
"전직종","남","3~5년미만","총근로시간","시간","184.8","185.4","173.8","177.3","165.6","165.9",
"전직종","남","3~5년미만","근로자수","명","834809","871540","866779","849821","801285","860512",
"전직종","남","5~10년미만","월임금총액","천원","4122","4173","4363","4625","4707","4807",
"전직종","남","5~10년미만","월급여액","천원","3591","3692","3845","4057","4153","4271",
"전직종","남","5~10년미만","전년도연간특별급여/12개월","천원","531","481","518","569","555","536",
"전직종","남","5~10년미만","전년도 연간특별급여","천원","6374","5770","6218","6825","6655","6433",
"전직종","남","5~10년미만","총근로시간","시간","182.8","184.8","172.9","178","165.3","166",
"전직종","남","5~10년미만","근로자수","명","1282848","1262298","1268733","1271996","1299941","1336727",
"전직종","남","10년이상","월임금총액","천원","5488","5585","5917","6239","6388","6492",
"전직종","남","10년이상","월급여액","천원","4607","4765","4983","5207","5395","5517",
"전직종","남","10년이상","전년도연간특별급여/12개월","천원","881","820","934","1032","993","975",
"전직종","남","10년이상","전년도 연간특별급여","천원","10571","9840","11207","12385","11911","11694",
"전직종","남","10년이상","총근로시간","시간","181.2","182.6","171.1","176.7","163.9","163.8",
"전직종","남","10년이상","근로자수","명","2945985","3093594","3272278","3158166","3279900","3309051",
"전직종","여","전경력","월임금총액","천원","2863","2934","3129","3272","3357","3486",
"전직종","여","전경력","월급여액","천원","2617","2701","2855","2974","3067","3190",
"전직종","여","전경력","전년도연간특별급여/12개월","천원","246","234","273","299","290","297",
"전직종","여","전경력","전년도 연간특별급여","천원","2953","2804","3277","3586","3479","3563",
"전직종","여","전경력","총근로시간","시간","168.7","169","158","161.5","149.2","148.9",
"전직종","여","전경력","근로자수","명","4254316","4345347","4645195","4755030","4966248","5127765",
"전직종","여","1년미만","월임금총액","천원","1971","2036","2155","2203","2276","2331",
"전직종","여","1년미만","월급여액","천원","1962","2025","2144","2193","2268","2323",
"전직종","여","1년미만","전년도연간특별급여/12개월","천원","9","11","11","10","9","7",
"전직종","여","1년미만","전년도 연간특별급여","천원","104","136","128","119","102","89",
"전직종","여","1년미만","총근로시간","시간","154.6","156.1","146.9","148.1","138.9","137.5",
"전직종","여","1년미만","근로자수","명","533473","510536","579631","684464","608129","624305",
"전직종","여","1~3년미만","월임금총액","천원","2303","2339","2466","2637","2662","2733",
"전직종","여","1~3년미만","월급여액","천원","2187","2231","2354","2502","2527","2608",
"전직종","여","1~3년미만","전년도연간특별급여/12개월","천원","116","107","112","135","135","125",
"전직종","여","1~3년미만","전년도 연간특별급여","천원","1398","1287","1346","1620","1620","1506",
"전직종","여","1~3년미만","총근로시간","시간","165.9","163.6","153.7","158.6","145.2","145.1",
"전직종","여","1~3년미만","근로자수","명","1004800","962902","946165","1050605","1124141","1102157",
"전직종","여","3~5년미만","월임금총액","천원","2528","2567","2745","2877","2880","3041",
"전직종","여","3~5년미만","월급여액","천원","2365","2417","2557","2684","2710","2847",
"전직종","여","3~5년미만","전년도연간특별급여/12개월","천원","163","150","188","193","170","195",
"전직종","여","3~5년미만","전년도 연간특별급여","천원","1959","1796","2252","2320","2041","2335",
"전직종","여","3~5년미만","총근로시간","시간","169.8","169.7","159.2","160.9","147.3","148.6",
"전직종","여","3~5년미만","근로자수","명","666634","721282","751649","714309","734656","776738",
"전직종","여","5~10년미만","월임금총액","천원","2941","2971","3137","3338","3377","3466",
"전직종","여","5~10년미만","월급여액","천원","2674","2736","2876","3043","3100","3199",
"전직종","여","5~10년미만","전년도연간특별급여/12개월","천원","266","235","261","295","277","267",
"전직종","여","5~10년미만","전년도 연간특별급여","천원","3196","2817","3136","3542","3327","3199",
"전직종","여","5~10년미만","총근로시간","시간","172","172.7","161.9","166.1","153.2","152.4",
